"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","test_trial"
"","","","","","html-keyboard-response","143","214128","0.0-5.0-0.3","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","144","215245","0.0-5.0-1.3","1116","[""videos/slow_med_c10_pink_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","145","216247","0.0-5.0-0.4","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","146","217767","0.0-5.0-1.4","1518","[""videos/med_high_c1_teal.mov""]","j","response","false"
"","","","","","html-keyboard-response","147","218519","0.0-5.0-0.5","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","148","219979","0.0-5.0-1.5","1459","[""videos/slow_low_c7_pink.mov""]","f","response","false"
"","","","","","html-keyboard-response","149","220980","0.0-5.0-0.6","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","150","222797","0.0-5.0-1.6","1816","[""videos/fast_high_c8_purple.mov""]","f","response","false"
"","","","","","html-keyboard-response","151","223799","0.0-5.0-0.7","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","152","225993","0.0-5.0-1.7","2192","[""videos/med_high_c5_tan_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","153","226744","0.0-5.0-0.8","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","154","228057","0.0-5.0-1.8","1311","[""videos/med_med_c11_teal.mov""]","j","response","false"
"","","","","","html-keyboard-response","155","228558","0.0-5.0-0.9","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","156","230453","0.0-5.0-1.9","1894","[""videos/med_med_c4_purple_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","157","230954","0.0-5.0-0.10","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","158","233107","0.0-5.0-1.10","2152","[""videos/med_high_c8_purple.mov""]","f","response","false"
"","","","","","html-keyboard-response","159","234109","0.0-5.0-0.11","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","160","235271","0.0-5.0-1.11","1161","[""videos/slow_low_c4_pink.mov""]","j","response","false"
"","","","","","html-keyboard-response","161","236272","0.0-5.0-0.12","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","162","238507","0.0-5.0-1.12","2233","[""videos/med_med_c6_purple_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","163","239259","0.0-5.0-0.13","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","164","240705","0.0-5.0-1.13","1444","[""videos/slow_med_c3_pink.mov""]","f","response","false"
"","","","","","html-keyboard-response","165","241707","0.0-5.0-0.14","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","166","244832","0.0-5.0-1.14","3123","[""videos/med_high_c7_purple_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","167","246932","0.0-5.0-2.14-0.14","2100","<p>You can take a quick break now if you need it.</p>
      <p>Press the spacebar to continue.</p>"," ","",""
"","","","","","html-keyboard-response","168","247934","0.0-5.0-0.15","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","169","249608","0.0-5.0-1.15","1672","[""videos/fast_med_c6_pink.mov""]","f","response","false"
"","","","","","html-keyboard-response","170","250609","0.0-5.0-0.16","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","171","251886","0.0-5.0-1.16","1276","[""videos/slow_low_c7_teal_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","172","252387","0.0-5.0-0.17","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","173","253551","0.0-5.0-1.17","1162","[""videos/med_low_c9_purple_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","174","254053","0.0-5.0-0.18","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","175","255687","0.0-5.0-1.18","1633","[""videos/fast_high_c12_pink.mov""]","j","response","false"
"","","","","","html-keyboard-response","176","256689","0.0-5.0-0.19","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","177","258455","0.0-5.0-1.19","1764","[""videos/fast_med_c15_purple.mov""]","f","response","false"
"","","","","","html-keyboard-response","178","259456","0.0-5.0-0.20","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","179","261710","0.0-5.0-1.20","2253","[""videos/slow_high_c3_purple.mov""]","f","response","false"
"","","","","","html-keyboard-response","180","262712","0.0-5.0-0.21","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","181","265002","0.0-5.0-1.21","2288","[""videos/med_low_c7_pink_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","182","265754","0.0-5.0-0.22","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","183","268028","0.0-5.0-1.22","2273","[""videos/fast_med_c16_tan_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","184","269030","0.0-5.0-0.23","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","185","271370","0.0-5.0-1.23","2339","[""videos/fast_low_c16_pink.mov""]","j","response","false"
"","","","","","html-keyboard-response","186","271872","0.0-5.0-0.24","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","187","276355","0.0-5.0-1.24","4481","[""videos/fast_med_c11_tan.mov""]","f","response","false"
"","","","","","html-keyboard-response","188","276857","0.0-5.0-0.25","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","189","279878","0.0-5.0-1.25","3019","[""videos/slow_med_c3_teal_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","190","280880","0.0-5.0-0.26","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","191","286075","0.0-5.0-1.26","5193","[""videos/fast_high_c15_pink.mov""]","f","response","false"
