"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","test_trial"
"","","","","","video-keyboard-response","246","333985","0.0-5.0-1.53","1408","[""videos/med_high_c6_tan.mov""]","f","response","false"
"","","","","","html-keyboard-response","247","334487","0.0-5.0-0.54","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","248","335651","0.0-5.0-1.54","1163","[""videos/slow_med_c1_purple.mov""]","f","response","false"
"","","","","","html-keyboard-response","249","336702","0.0-5.0-2.54-0.54","1050","<p>You can take a quick break now if you need it.</p>
      <p>Press the spacebar to continue.</p>"," ","",""
"","","","","","html-keyboard-response","250","337704","0.0-5.0-0.55","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","251","339210","0.0-5.0-1.55","1505","[""videos/fast_med_c17_tan_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","252","340213","0.0-5.0-0.56","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","253","342150","0.0-5.0-1.56","1936","[""videos/med_low_c5_purple_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","254","342651","0.0-5.0-0.57","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","255","344172","0.0-5.0-1.57","1520","[""videos/slow_med_c10_purple.mov""]","j","response","false"
"","","","","","html-keyboard-response","256","344674","0.0-5.0-0.58","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","257","346616","0.0-5.0-1.58","1941","[""videos/med_low_c5_pink.mov""]","j","response","false"
"","","","","","html-keyboard-response","258","347368","0.0-5.0-0.59","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","259","348947","0.0-5.0-1.59","1578","[""videos/slow_low_c2_teal_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","260","349700","0.0-5.0-0.60","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","261","351372","0.0-5.0-1.60","1671","[""videos/med_high_c5_teal.mov""]","f","response","false"
"","","","","","html-keyboard-response","262","351874","0.0-5.0-0.61","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","263","353332","0.0-5.0-1.61","1456","[""videos/slow_med_c7_tan_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","264","353833","0.0-5.0-0.62","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","265","355383","0.0-5.0-1.62","1548","[""videos/slow_high_c2_teal_mirror.mov""]","j","response","false"
