"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","test_trial"
"","","","","","html-keyboard-response","176","334437","0.0-5.0-0.19","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","177","336129","0.0-5.0-1.19","1691","[""videos/med_high_c10_pink.mov""]","j","response","false"
"","","","","","html-keyboard-response","178","337131","0.0-5.0-0.20","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","179","338992","0.0-5.0-1.20","1859","[""videos/fast_low_c5_tan.mov""]","f","response","false"
"","","","","","html-keyboard-response","180","339745","0.0-5.0-0.21","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","181","342037","0.0-5.0-1.21","2291","[""videos/med_med_c9_pink_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","182","343039","0.0-5.0-0.22","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","183","345331","0.0-5.0-1.22","2290","[""videos/slow_high_c2_teal_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","184","346082","0.0-5.0-0.23","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","185","348813","0.0-5.0-1.23","2729","[""videos/fast_high_c4_purple.mov""]","f","response","false"
"","","","","","html-keyboard-response","186","349814","0.0-5.0-0.24","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","187","351493","0.0-5.0-1.24","1677","[""videos/slow_med_c5_pink_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","188","351994","0.0-5.0-0.25","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","189","354428","0.0-5.0-1.25","2432","[""videos/med_low_c16_purple_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","190","354929","0.0-5.0-0.26","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","191","356580","0.0-5.0-1.26","1650","[""videos/slow_high_c6_teal_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","192","357333","0.0-5.0-0.27","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","193","360292","0.0-5.0-1.27","2958","[""videos/fast_low_c17_purple_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","194","361044","0.0-5.0-0.28","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","195","362822","0.0-5.0-1.28","1777","[""videos/slow_med_c3_pink_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","196","363324","0.0-5.0-0.29","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","197","367419","0.0-5.0-1.29","4094","[""videos/med_low_c2_teal_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","198","367921","0.0-5.0-0.30","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","199","369723","0.0-5.0-1.30","1801","[""videos/slow_high_c13_teal.mov""]","j","response","false"
"","","","","","html-keyboard-response","200","370474","0.0-5.0-0.31","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","201","373778","0.0-5.0-1.31","3302","[""videos/med_low_c5_pink.mov""]","f","response","false"
"","","","","","html-keyboard-response","202","374531","0.0-5.0-0.32","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","203","376352","0.0-5.0-1.32","1820","[""videos/slow_med_c2_tan.mov""]","f","response","false"
"","","","","","html-keyboard-response","204","377354","0.0-5.0-0.33","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","205","380213","0.0-5.0-1.33","2858","[""videos/slow_high_c4_purple.mov""]","j","response","false"
"","","","","","html-keyboard-response","206","380715","0.0-5.0-0.34","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","207","382590","0.0-5.0-1.34","1873","[""videos/slow_high_c2_purple.mov""]","f","response","false"
"","","","","","html-keyboard-response","208","383640","0.0-5.0-2.34-0.34","1050","<p>You can take a quick break now if you need it.</p>
      <p>Press the spacebar to continue.</p>"," ","",""
"","","","","","html-keyboard-response","209","384393","0.0-5.0-0.35","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","210","386653","0.0-5.0-1.35","2259","[""videos/med_high_c13_pink.mov""]","j","response","false"
"","","","","","html-keyboard-response","211","387406","0.0-5.0-0.36","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","212","389748","0.0-5.0-1.36","2341","[""videos/fast_high_c15_tan.mov""]","j","response","false"
"","","","","","html-keyboard-response","213","390500","0.0-5.0-0.37","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","214","394521","0.0-5.0-1.37","4019","[""videos/med_med_c8_pink.mov""]","j","response","false"
"","","","","","html-keyboard-response","215","395523","0.0-5.0-0.38","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","216","398875","0.0-5.0-1.38","3350","[""videos/med_low_c7_teal_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","217","399377","0.0-5.0-0.39","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","218","400973","0.0-5.0-1.39","1595","[""videos/slow_med_c10_teal.mov""]","j","response","false"
"","","","","","html-keyboard-response","219","401475","0.0-5.0-0.40","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","220","403235","0.0-5.0-1.40","1759","[""videos/fast_med_c6_purple_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","221","403986","0.0-5.0-0.41","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","222","405787","0.0-5.0-1.41","1799","[""videos/med_med_c8_tan_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","223","406789","0.0-5.0-0.42","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","224","408680","0.0-5.0-1.42","1890","[""videos/slow_low_c2_purple.mov""]","f","response","false"
"","","","","","html-keyboard-response","225","409432","0.0-5.0-0.43","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","226","413567","0.0-5.0-1.43","4133","[""videos/slow_low_c1_teal.mov""]","j","response","false"
"","","","","","html-keyboard-response","227","414319","0.0-5.0-0.44","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","228","420590","0.0-5.0-1.44","6270","[""videos/slow_high_c2_pink.mov""]","f","response","false"
"","","","","","html-keyboard-response","229","421592","0.0-5.0-0.45","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","230","424753","0.0-5.0-1.45","3160","[""videos/slow_med_c1_teal_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","231","425755","0.0-5.0-0.46","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","232","428664","0.0-5.0-1.46","2908","[""videos/med_low_c8_teal_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","233","429165","0.0-5.0-0.47","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","234","432198","0.0-5.0-1.47","3031","[""videos/slow_med_c2_teal_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","235","433199","0.0-5.0-0.48","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","236","438219","0.0-5.0-1.48","5019","[""videos/med_high_c8_purple_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","237","438972","0.0-5.0-0.49","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","238","441281","0.0-5.0-1.49","2308","[""videos/fast_high_c13_teal.mov""]","f","response","false"
"","","","","","html-keyboard-response","239","442033","0.0-5.0-0.50","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","240","444942","0.0-5.0-1.50","2907","[""videos/fast_high_c17_teal_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","241","445693","0.0-5.0-0.51","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","242","449282","0.0-5.0-1.51","3588","[""videos/fast_low_c15_pink.mov""]","f","response","false"
"","","","","","html-keyboard-response","243","449784","0.0-5.0-0.52","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","244","454660","0.0-5.0-1.52","4875","[""videos/med_low_c2_purple.mov""]","f","response","false"
"","","","","","html-keyboard-response","245","455662","0.0-5.0-0.53","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","246","462703","0.0-5.0-1.53","7039","[""videos/med_high_c13_tan_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","247","463455","0.0-5.0-0.54","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","248","466296","0.0-5.0-1.54","2840","[""videos/fast_high_c12_purple_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","249","467056","0.0-5.0-2.54-0.54","760","<p>You can take a quick break now if you need it.</p>
      <p>Press the spacebar to continue.</p>"," ","",""
"","","","","","html-keyboard-response","250","467557","0.0-5.0-0.55","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","251","469770","0.0-5.0-1.55","2212","[""videos/med_med_c14_purple.mov""]","j","response","false"
"","","","","","html-keyboard-response","252","470271","0.0-5.0-0.56","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","253","475611","0.0-5.0-1.56","5338","[""videos/fast_low_c16_pink.mov""]","j","response","false"
"","","","","","html-keyboard-response","254","476364","0.0-5.0-0.57","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","255","483614","0.0-5.0-1.57","7249","[""videos/med_med_c9_teal.mov""]","j","response","false"
"","","","","","html-keyboard-response","256","484116","0.0-5.0-0.58","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","257","490511","0.0-5.0-1.58","6393","[""videos/med_low_c12_pink_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","258","491262","0.0-5.0-0.59","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","259","495264","0.0-5.0-1.59","4000","[""videos/fast_high_c8_pink_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","260","496016","0.0-5.0-0.60","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","261","498422","0.0-5.0-1.60","2404","[""videos/fast_med_c13_pink_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","262","499173","0.0-5.0-0.61","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","263","500757","0.0-5.0-1.61","1581","[""videos/slow_low_c4_teal.mov""]","j","response","false"
"","","","","","html-keyboard-response","264","501259","0.0-5.0-0.62","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","265","503580","0.0-5.0-1.62","2320","[""videos/med_med_c6_pink.mov""]","f","response","false"
"","","","","","html-keyboard-response","266","504582","0.0-5.0-0.63","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","267","508823","0.0-5.0-1.63","4240","[""videos/med_low_c8_pink.mov""]","j","response","false"
"","","","","","html-keyboard-response","268","509825","0.0-5.0-0.64","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","269","511369","0.0-5.0-1.64","1542","[""videos/med_med_c11_tan_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","270","512121","0.0-5.0-0.65","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","271","513866","0.0-5.0-1.65","1743","[""videos/slow_low_c5_purple.mov""]","j","response","false"
"","","","","","html-keyboard-response","272","514868","0.0-5.0-0.66","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","273","516885","0.0-5.0-1.66","2015","[""videos/med_med_c4_purple_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","274","517636","0.0-5.0-0.67","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","275","519782","0.0-5.0-1.67","2145","[""videos/fast_low_c12_tan.mov""]","f","response","false"
"","","","","","html-keyboard-response","276","520284","0.0-5.0-0.68","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","277","524626","0.0-5.0-1.68","4341","[""videos/fast_low_c17_tan.mov""]","j","response","false"
"","","","","","html-keyboard-response","278","525128","0.0-5.0-0.69","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","279","529192","0.0-5.0-1.69","4062","[""videos/med_med_c14_teal_mirror.mov""]","j","response","false"
