"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","test_trial"
"","","","","","video-keyboard-response","465","832584","0.0-7.0-1.15","1211","[""videos/slow_low_c3_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","466","833586","0.0-7.0-0.16","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","467","834921","0.0-7.0-1.16","1334","[""videos/slow_low_c4_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","468","835923","0.0-7.0-0.17","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","469","837202","0.0-7.0-1.17","1279","[""videos/med_high_c8_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","470","837954","0.0-7.0-0.18","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","471","839297","0.0-7.0-1.18","1341","[""videos/med_high_c6_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","472","839799","0.0-7.0-0.19","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","473","841048","0.0-7.0-1.19","1248","[""videos/slow_high_c13_white.mov""]","j","response","false"
"","","","","","html-keyboard-response","474","841550","0.0-7.0-0.20","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","475","842880","0.0-7.0-1.20","1329","[""videos/med_med_c11_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","476","843882","0.0-7.0-0.21","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","477","845685","0.0-7.0-1.21","1802","[""videos/med_med_c8_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","478","846438","0.0-7.0-0.22","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","479","847735","0.0-7.0-1.22","1296","[""videos/fast_high_c12_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","480","848488","0.0-7.0-0.23","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","481","849820","0.0-7.0-1.23","1331","[""videos/fast_high_c8_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","482","850572","0.0-7.0-0.24","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
