"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","test_trial"
"","","","","","html-keyboard-response","145","284640","0.0-5.0-0.64","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","146","286266","0.0-5.0-1.64","1625","[""videos/fast_med_c14_teal.mov""]","f","response","false"
"","","","","","html-keyboard-response","147","287018","0.0-5.0-0.65","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","148","288389","0.0-5.0-1.65","1370","[""videos/slow_med_c4_tan.mov""]","f","response","false"
"","","","","","html-keyboard-response","149","289391","0.0-5.0-0.66","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","150","291190","0.0-5.0-1.66","1798","[""videos/med_low_c7_teal.mov""]","f","response","false"
"","","","","","html-keyboard-response","151","291692","0.0-5.0-0.67","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","152","293653","0.0-5.0-1.67","1959","[""videos/med_low_c16_pink.mov""]","j","response","false"
"","","","","","html-keyboard-response","153","294154","0.0-5.0-0.68","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","154","295783","0.0-5.0-1.68","1628","[""videos/med_high_c10_teal.mov""]","j","response","false"
"","","","","","html-keyboard-response","155","296785","0.0-5.0-0.69","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","156","298311","0.0-5.0-1.69","1524","[""videos/slow_med_c10_teal.mov""]","j","response","false"
"","","","","","html-keyboard-response","157","299313","0.0-5.0-0.70","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","158","300807","0.0-5.0-1.70","1493","[""videos/fast_high_c17_pink_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","159","301309","0.0-5.0-0.71","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","160","303312","0.0-5.0-1.71","2002","[""videos/fast_low_c17_teal_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","161","304315","0.0-5.0-0.72","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","162","305752","0.0-5.0-1.72","1436","[""videos/fast_high_c8_teal_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","163","306254","0.0-5.0-0.73","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","164","307774","0.0-5.0-1.73","1519","[""videos/slow_high_c4_tan_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","165","308527","0.0-5.0-0.74","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","166","310558","0.0-5.0-1.74","2029","[""videos/med_low_c8_pink_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","167","313668","0.0-5.0-2.74-0.74","3109","<p>You can take a quick break now if you need it.</p>
      <p>Press the spacebar to continue.</p>"," ","",""
"","","","","","html-keyboard-response","168","314169","0.0-5.0-0.75","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","169","315421","0.0-5.0-1.75","1250","[""videos/med_med_c4_teal.mov""]","f","response","false"
"","","","","","html-keyboard-response","170","316424","0.0-5.0-0.76","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","171","317753","0.0-5.0-1.76","1328","[""videos/slow_high_c13_pink.mov""]","j","response","false"
"","","","","","html-keyboard-response","172","318756","0.0-5.0-0.77","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","173","320031","0.0-5.0-1.77","1273","[""videos/slow_med_c3_pink.mov""]","f","response","false"
"","","","","","html-keyboard-response","174","320781","0.0-5.0-0.78","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
