"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","test_trial"
"","","","","","html-keyboard-response","88","121249","0.0-5.0-0.36","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","89","122842","0.0-5.0-1.36","1591","[""videos/med_high_c1_purple.mov""]","f","response","false"
"","","","","","html-keyboard-response","90","123594","0.0-5.0-0.37","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","91","125519","0.0-5.0-1.37","1923","[""videos/fast_high_c8_teal.mov""]","f","response","false"
"","","","","","html-keyboard-response","92","126021","0.0-5.0-0.38","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","93","127414","0.0-5.0-1.38","1392","[""videos/fast_med_c16_purple.mov""]","j","response","false"
"","","","","","html-keyboard-response","94","128416","0.0-5.0-0.39","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","95","130490","0.0-5.0-1.39","2073","[""videos/fast_low_c16_teal.mov""]","j","response","false"
"","","","","","html-keyboard-response","96","131243","0.0-5.0-0.40","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","97","132409","0.0-5.0-1.40","1165","[""videos/fast_low_c17_teal.mov""]","j","response","false"
"","","","","","html-keyboard-response","98","133411","0.0-5.0-0.41","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","99","134584","0.0-5.0-1.41","1172","[""videos/slow_med_c7_teal.mov""]","j","response","false"
"","","","","","html-keyboard-response","100","135336","0.0-5.0-0.42","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","101","136272","0.0-5.0-1.42","934","[""videos/med_low_c8_teal_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","102","136774","0.0-5.0-0.43","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","103","137723","0.0-5.0-1.43","948","[""videos/slow_high_c4_pink_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","104","138725","0.0-5.0-0.44","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
