"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","task","test_trial"
"","","","","","html-keyboard-response","462","624924","0.0-7.0-0.14","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","463","626298","0.0-7.0-1.14","1372","[""videos/fast_med_c16_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","464","626799","0.0-7.0-0.15","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","465","628031","0.0-7.0-1.15","1230","[""videos/med_high_c5_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","466","628532","0.0-7.0-0.16","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","467","629716","0.0-7.0-1.16","1183","[""videos/med_high_c7_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","468","630218","0.0-7.0-0.17","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","469","631859","0.0-7.0-1.17","1640","[""videos/slow_high_c6_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","470","632861","0.0-7.0-0.18","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","471","634167","0.0-7.0-1.18","1305","[""videos/fast_low_c15_white_mirror.mov""]","f","response","false"
"","","","","","html-keyboard-response","472","635170","0.0-7.0-0.19","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","473","636448","0.0-7.0-1.19","1277","[""videos/med_med_c4_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","474","636950","0.0-7.0-0.20","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","475","637921","0.0-7.0-1.20","970","[""videos/slow_low_c12_white_mirror.mov""]","j","response","false"
"","","","","","html-keyboard-response","476","638673","0.0-7.0-0.21","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
"","","","","","video-keyboard-response","477","639681","0.0-7.0-1.21","1006","[""videos/fast_high_c8_white.mov""]","f","response","false"
"","","","","","html-keyboard-response","478","640434","0.0-7.0-0.22","null","<div style=""font-size:60px;"">+</div>","null","fixation",""
